dataset,split,gp_r2,xgb_r2,ffnn_r2,gp_rmse,xgb_rmse,ffnn_rmse
Coagulation,SCAF_01,0.48714572009702417,0.38958884785501713,0.38666516794021677,0.9436965464586318,1.029548009758308,1.0320106721041051
Coagulation,SCAF_02,0.4532098980550492,0.42499166037327574,0.3016462022864338,0.9533193481525316,0.9776089231774135,1.0773723731253166
Coagulation,SCAF_03,0.4392228360754854,0.4161100276419136,0.3059485833118307,0.9161261967532027,0.9348149527256234,1.0191919026657132
Coagulation,SCAF_04,0.422147855104852,0.19292409102691455,0.36017743097643884,0.9478459832236016,1.1201768705696995,0.9973766275649141
Coagulation,SCAF_05,0.5815433255345048,0.5061485381530758,0.5230973517289488,0.859433014646265,0.9336518348007652,0.9174906565864331
Coagulation,SCAF_06,0.44736586609175877,0.369048757480851,0.359375665521242,0.9491812953873936,1.0142107707809709,1.021955615054209
Coagulation,SCAF_07,0.4463331858116547,0.34199383908719294,0.39388352153129413,0.9380736208593083,1.0226514931205266,0.9815009458901273
Coagulation,SCAF_08,0.5248333176417321,0.36374725496374005,0.4715295052694206,0.8695706517707962,1.0062287403398469,0.9170483961603458
Coagulation,SCAF_09,0.3642957260421045,0.30610900991539935,0.26568031961540794,0.977808540921919,1.0215788309608442,1.05091803393854
Dihydrofolate,RND_00,0.44189676773817754,0.3836918411359901,0.49036083757708115,0.8254467489008538,0.8674226357023266,0.7887932565459396
Dihydrofolate,RND_01,0.5149670393510577,0.4579218621494221,0.5237359096360157,0.7819052570378898,0.826607712621175,0.7748050196818096
Dihydrofolate,RND_02,0.580519947536076,0.5622867552285531,0.4898303689380741,0.762819393084285,0.7792214746133183,0.8412466931769854
Dihydrofolate,RND_03,0.6120839034896122,0.5554107132511445,0.6304786166148417,0.7769721465286001,0.8317945037551296,0.7583266823350431
Dihydrofolate,RND_04,0.48392197692460404,0.32792872341943846,0.38454101175339583,0.8391862529752278,0.9576533794868969,0.9164319832668216
Dihydrofolate,RND_05,0.6264513201453368,0.5846072322077093,0.5998033080551626,0.716466508913409,0.7555300749342571,0.74158175848014
Dihydrofolate,RND_06,0.529818169307986,0.4495002763034027,0.44072061743969215,0.7705314816998333,0.833750329967207,0.8403725748368857
Dihydrofolate,RND_07,0.5549882230491455,0.4453746175237434,0.4815129445029366,0.7969021195074768,0.8896498303940203,0.8601777188187253
Dihydrofolate,RND_08,0.43833493501983034,0.25576231175758324,0.35301697562562184,0.8023712883385122,0.9236182446991484,0.8611585474978168
Dihydrofolate,RND_09,0.5476782837274354,0.5055930708272177,0.5185543057738966,0.798079895804604,0.8343819982905093,0.8233723993954609
Dihydrofolate,SCAF_00,0.023993538022920924,-0.08662808512662568,-0.14099541293627582,1.2037441996350127,1.2701304378859617,1.301516895235438
Dihydrofolate,SCAF_01,0.21800189949280857,0.09767538114358465,0.15394922325078042,1.042871939976255,1.1202360296329017,1.0847417292035948
Dihydrofolate,SCAF_02,0.23270158272958075,0.16871028617862172,0.1940361872815668,0.7686053677064449,0.8000137756249668,0.7877329887616159
Dihydrofolate,SCAF_03,0.44694447936855963,0.34236124706398974,0.33803239457245626,0.7439167050288079,0.81121065017652,0.8138761344163485
Dihydrofolate,SCAF_04,-0.0016794697432749306,-0.21125085741598215,-0.16665061349674248,1.1027901312046755,1.2126780965776485,1.1901423010696892
Dihydrofolate,SCAF_05,0.07970251386110083,-0.023745534084042896,-0.071953210056664,1.0061990262866718,1.0612453124733374,1.08594464840745
Dihydrofolate,SCAF_06,0.20477338380517385,0.08309916879716694,0.17902949035819948,0.9215378419166423,0.9895298582736588,0.9363355195321181
Dihydrofolate,SCAF_07,0.29184969119888493,0.30287456612419816,0.3388156877544136,0.8918216879674973,0.8848522694471173,0.8617406411821597
Dihydrofolate,SCAF_08,0.3250383351373307,0.3634719026630051,0.35118748974391223,0.9109783371029143,0.8846618218311973,0.8931576114393864
Dihydrofolate,SCAF_09,-0.08114640427248698,-0.265849161491444,-0.2533183525412044,1.1947622286033173,1.2927966239401174,1.2863819267426766
Dopamine,RND_00,0.5444192649078969,0.48760485815849797,0.46348209543366803,0.7103600671663245,0.7533527290134641,0.7708821223383882
Dopamine,RND_01,0.5782139944778724,0.46800603769367555,0.5464089887467085,0.707664968625081,0.7947581057857465,0.7338610435051752
Dopamine,RND_02,0.4991915231367198,0.3784831941292658,0.32339411627456316,0.70598687592868,0.7864791800838851,0.8205946423168808
Dopamine,RND_03,0.5637170211959563,0.5490615395305312,0.5576800164793698,0.723502884231215,0.735554354418809,0.7284913716437765
Dopamine,RND_04,0.5382934151229899,0.48718688863666426,0.4870841718007419,0.7152384254884023,0.7537847804795716,0.7538602685171721
Dopamine,RND_05,0.5185339418217048,0.4954068683951186,0.33936241819674284,0.6860077397960892,0.7022905827946919,0.8035775876193355
Dopamine,RND_06,0.6137683042493078,0.5380221174798898,0.5366054886416289,0.6854391564497639,0.7496448242737666,0.7507933160588249
Dopamine,RND_07,0.5417740105294132,0.5205278728686447,0.43060158641685164,0.704090146951732,0.7202281485521451,0.7848678403463424
Dopamine,RND_08,0.316589191333819,0.2610459678209749,0.24650742258852887,0.8761851731817852,0.9110950556025142,0.9200140662456773
Dopamine,RND_09,0.5611379062893327,0.5000923612064077,0.4888379465189644,0.7147547909006307,0.7628478493782952,0.7713870484021366
Dopamine,SCAF_00,0.3147427687688614,0.21110805013604772,0.23045077316420792,0.7961418401081253,0.8542252348434097,0.8436879333580274
Dopamine,SCAF_01,0.11531476233433224,0.11244316082107553,0.046316438568377194,0.8855242243245419,0.886960222382223,0.9194078434349306
Dopamine,SCAF_02,0.30014642982293016,0.035435856151331824,0.2599021471240973,0.89836961048656,1.0546710329665634,0.9238384496150011
Dopamine,SCAF_03,0.22984527407435085,-0.05671224038223999,0.025051638689911893,0.8585900033924094,1.005715640900331,0.9660233903323757
Dopamine,SCAF_04,0.284646262094446,0.07967801375996098,0.3010356368611462,0.815547770551811,0.9250365184786665,0.8061511842205531
Dopamine,SCAF_05,0.1668275373306205,0.090149534105888,0.1566605096959799,0.8318321474713555,0.8692671294195211,0.8368920939389439
